Malaysia|Southeast Asia|MYS|22244000|Johor Baharu|Johor|328436
India|Southern and Central Asia|IND|1013662000|Etawah|Uttar Pradesh|124072
Ukraine|Eastern Europe|UKR|50456000|Nikopol|Dnipropetrovsk|149000
Brazil|South America|BRA|170115000|Ananindeua|Pará|400940
Ukraine|Eastern Europe|UKR|50456000|Dniprodzerzynsk|Dnipropetrovsk|270000
Italy|Southern Europe|ITA|57680000|Palermo|Sisilia|683794
China|Eastern Asia|CHN|1277558000|Yong´an|Fujian|111762
Argentina|South America|ARG|37032000|San Miguel|Buenos Aires|248700
Russian Federation|Eastern Europe|RUS|146934000|Severodvinsk|Arkangeli|229300
Czech Republic|Eastern Europe|CZE|10278100|Brno|Jizní Morava|381862
United States|North America|USA|278357000|Mesquite|Texas|124523
Japan|Eastern Asia|JPN|126714000|Higashimatsuyama|Saitama|93342
Spain|Southern Europe|ESP|39441700|Sabadell|Katalonia|184859
Japan|Eastern Asia|JPN|126714000|Yao|Osaka|276421
Brazil|South America|BRA|170115000|Jacareí|São Paulo|170356
Germany|Western Europe|DEU|82164700|Heilbronn|Baden-Württemberg|119526
United States|North America|USA|278357000|Beaumont|Texas|113866
Australia|Australia and New Zealand|AUS|18886000|Gold Coast|Queensland|311932
Argentina|South America|ARG|37032000|La Rioja|La Rioja|138117
Italy|Southern Europe|ITA|57680000|Venezia|Veneto|277305
China|Eastern Asia|CHN|1277558000|Xiangfan|Hubei|410407
Brazil|South America|BRA|170115000|Londrina|Paraná|432257
Japan|Eastern Asia|JPN|126714000|Narashino|Chiba|152849
China|Eastern Asia|CHN|1277558000|Suqian|Jiangsu|105021
Guam|Micronesia|GUM|168000|Tamuning|–|9500
Turkey|Middle East|TUR|66591000|Adana|Adana|1131198
United States|North America|USA|278357000|Yonkers|New York|196086
United States|North America|USA|278357000|Oklahoma City|Oklahoma|506132
South Africa|Southern Africa|ZAF|40377000|Chatsworth|KwaZulu-Natal|189885
Romania|Eastern Europe|ROM|22455500|Buzau|Buzau|148372
Peru|South America|PER|25662000|Piura|Piura|325000
Philippines|Southeast Asia|PHL|75967000|Naga|Bicol|137810
Philippines|Southeast Asia|PHL|75967000|Polomolok|Southern Mindanao|110709
France|Western Europe|FRA|59225700|Rouen|Haute-Normandie|106592
Mexico|Central America|MEX|98881000|José Azueta|Guerrero|95448
Germany|Western Europe|DEU|82164700|Halle/Saale|Anhalt Sachsen|254360
China|Eastern Asia|CHN|1277558000|Jinzhou|Liaoning|95761
Philippines|Southeast Asia|PHL|75967000|Las Piñas|National Capital Reg|472780
United States|North America|USA|278357000|Alexandria|Virginia|128283
India|Southern and Central Asia|IND|1013662000|Bharatpur|Rajasthan|148519
China|Eastern Asia|CHN|1277558000|Suzhou|Anhui|151862
United States|North America|USA|278357000|Durham|North Carolina|187035
Equatorial Guinea|Central Africa|GNQ|453000|Malabo|Bioko|40000
United States|North America|USA|278357000|Ontario|California|158007
Hong Kong|Eastern Asia|HKG|6782000|Victoria|Hongkong|1312637
South Korea|Eastern Asia|KOR|46844000|Iksan|Chollabuk|322685
Poland|Eastern Europe|POL|38653600|Slupsk|Pomorskie|102370
Russian Federation|Eastern Europe|RUS|146934000|Himki|Moskova|133700
China|Eastern Asia|CHN|1277558000|Quanzhou|Fujian|185154
Russian Federation|Eastern Europe|RUS|146934000|Tšita|Tšita|309900
Syria|Middle East|SYR|16125000|Jaramana|Damaskos|138469
India|Southern and Central Asia|IND|1013662000|Neyveli|Tamil Nadu|118080
United States|North America|USA|278357000|Ann Arbor|Michigan|114024
China|Eastern Asia|CHN|1277558000|Jinzhou|Liaoning|570000
Philippines|Southeast Asia|PHL|75967000|Ligao|Bicol|90603
United States|North America|USA|278357000|Bellevue|Washington|109569
India|Southern and Central Asia|IND|1013662000|Raiganj|West Bengali|151045
Vietnam|Southeast Asia|VNM|79832000|Vung Tau|Ba Ria-Vung Tau|145145
Togo|Western Africa|TGO|4629000|Lomé|Maritime|375000
Canada|North America|CAN|31147000|Mississauga|Ontario|608072
Iraq|Middle East|IRQ|23115000|al-Kut|Wasit|183183
Taiwan|Eastern Asia|TWN|22256000|Tanshui|Taipei|111882
Iraq|Middle East|IRQ|23115000|Baghdad|Baghdad|4336000
Spain|Southern Europe|ESP|39441700|Santander|Cantabria|184165
China|Eastern Asia|CHN|1277558000|Xinghua|Jiangsu|161910
Italy|Southern Europe|ITA|57680000|Syrakusa|Sisilia|126282
Brazil|South America|BRA|170115000|Sete Lagoas|Minas Gerais|182984
Russian Federation|Eastern Europe|RUS|146934000|Balakovo|Saratov|206000
China|Eastern Asia|CHN|1277558000|Xichang|Sichuan|134419
Pakistan|Southern and Central Asia|PAK|156483000|Hafizabad|Punjab|130200
Pakistan|Southern and Central Asia|PAK|156483000|Sahiwal|Punjab|207388
Morocco|Northern Africa|MAR|28351000|Rabat|Rabat-Salé-Zammour-Z|623457
Macao|Eastern Asia|MAC|473000|Macao|Macau|437500
Sweden|Nordic Countries|SWE|8861400|Borås|West Götanmaan län|96883
Czech Republic|Eastern Europe|CZE|10278100|Ústí nad Labem|Severní Cechy|95491
Brazil|South America|BRA|170115000|Campos dos Goytacazes|Rio de Janeiro|398418
Philippines|Southeast Asia|PHL|75967000|Parañaque|National Capital Reg|449811
Indonesia|Southeast Asia|IDN|212107000|Jaya Pura|West Irian|94700
China|Eastern Asia|CHN|1277558000|Ji´an|Jiangxi|148583
Russian Federation|Eastern Europe|RUS|146934000|Orehovo-Zujevo|Moskova|124900
Japan|Eastern Asia|JPN|126714000|Tokyo|Tokyo-to|7980230
Germany|Western Europe|DEU|82164700|Hamburg|Hamburg|1704735
France|Western Europe|FRA|59225700|Clermont-Ferrand|Auvergne|137140
Brazil|South America|BRA|170115000|Poços de Caldas|Minas Gerais|129683
Brazil|South America|BRA|170115000|Toledo|Paraná|99387
Russian Federation|Eastern Europe|RUS|146934000|Novorossijsk|Krasnodar|203300
Romania|Eastern Europe|ROM|22455500|Ploiesti|Prahova|251348
Turkey|Middle East|TUR|66591000|Malatya|Malatya|330312
France|Western Europe|FRA|59225700|Roubaix|Nord-Pas-de-Calais|96984
United States|North America|USA|278357000|Anaheim|California|328014
Brazil|South America|BRA|170115000|Colatina|Espírito Santo|107354
Myanmar|Southeast Asia|MMR|45611000|Taunggyi (Taunggye)|Shan|131500
Russian Federation|Eastern Europe|RUS|146934000|Samara|Samara|1156100
Belarus|Eastern Europe|BLR|10236000|Orša|Vitebsk|124000
Colombia|South America|COL|42321000|Cali|Valle|2077386
United States|North America|USA|278357000|Scottsdale|Arizona|202705
Japan|Eastern Asia|JPN|126714000|Iruma|Saitama|145922
India|Southern and Central Asia|IND|1013662000|Kulti-Barakar|West Bengali|108518
South Africa|Southern Africa|ZAF|40377000|Boksburg|Gauteng|262648
Ukraine|Eastern Europe|UKR|50456000|Tšernigiv|Tšernigiv|313000
Canada|North America|CAN|31147000|Thunder Bay|Ontario|115913
Spain|Southern Europe|ESP|39441700|Alicante [Alacant]|Valencia|272432
China|Eastern Asia|CHN|1277558000|Anshun|Guizhou|174142
Brazil|South America|BRA|170115000|Teresina|Piauí|691942
Brazil|South America|BRA|170115000|Cascavel|Paraná|237510
Poland|Eastern Europe|POL|38653600|Poznan|Wielkopolskie|576899
United States|North America|USA|278357000|Seattle|Washington|563374
United Kingdom|British Islands|GBR|59623400|London|England|7285000
United Kingdom|British Islands|GBR|59623400|Walsall|England|174739
Pakistan|Southern and Central Asia|PAK|156483000|Khanewal|Punjab|133000
Senegal|Western Africa|SEN|9481000|Mbour|Thiès|109300
Turkey|Middle East|TUR|66591000|Manisa|Manisa|207148
United States|North America|USA|278357000|Elgin|Illinois|89408
Japan|Eastern Asia|JPN|126714000|Nara|Nara|362812
Brazil|South America|BRA|170115000|Paulo Afonso|Bahia|97291
Nigeria|Western Africa|NGA|111506000|Ugep|Cross River|102600
Mexico|Central America|MEX|98881000|Macuspana|Tabasco|133795
China|Eastern Asia|CHN|1277558000|Qashqar|Xinxiang|174570
Poland|Eastern Europe|POL|38653600|Bialystok|Podlaskie|283937
Brazil|South America|BRA|170115000|Teixeira de Freitas|Bahia|108441
Pakistan|Southern and Central Asia|PAK|156483000|Rawalpindi|Punjab|1406214
India|Southern and Central Asia|IND|1013662000|Qutubullapur|Andhra Pradesh|105380
Angola|Central Africa|AGO|12878000|Benguela|Benguela|128300
Hungary|Eastern Europe|HUN|10043200|Székesfehérvár|Fejér|105119
Ukraine|Eastern Europe|UKR|50456000|Sumy|Sumy|294000
United Kingdom|British Islands|GBR|59623400|Northampton|England|196000
Kenya|Eastern Africa|KEN|30080000|Mombasa|Coast|461753
India|Southern and Central Asia|IND|1013662000|Korba|Chhatisgarh|124501
China|Eastern Asia|CHN|1277558000|Fuxin|Liaoning|640000
Bangladesh|Southern and Central Asia|BGD|129155000|Pabna|Rajshahi|103277
Argentina|South America|ARG|37032000|San Juan|San Juan|119152
Colombia|South America|COL|42321000|Florencia|Caquetá|108574
Estonia|Baltic Countries|EST|1439200|Tallinn|Harjumaa|403981
France|Western Europe|FRA|59225700|Paris|Île-de-France|2125246
Romania|Eastern Europe|ROM|22455500|Târgu Jiu|Gorj|98524
El Salvador|Central America|SLV|6276000|Santa Ana|Santa Ana|139389
Philippines|Southeast Asia|PHL|75967000|Mexico|Central Luzon|109481
United States|North America|USA|278357000|Sioux Falls|South Dakota|123975
Brazil|South America|BRA|170115000|Itabira|Minas Gerais|102217
Ukraine|Eastern Europe|UKR|50456000|Makijivka|Donetsk|384000
Mexico|Central America|MEX|98881000|Guaymas|Sonora|130108
Indonesia|Southeast Asia|IDN|212107000|Kendari|Sulawesi Tenggara|94800
Japan|Eastern Asia|JPN|126714000|Kawanishi|Hyogo|149794
Brazil|South America|BRA|170115000|Novo Hamburgo|Rio Grande do Sul|239940
Nigeria|Western Africa|NGA|111506000|Ogbomosho|Oyo & Osun|730000
Russian Federation|Eastern Europe|RUS|146934000|Armavir|Krasnodar|164900
United States|North America|USA|278357000|Garden Grove|California|165196
United States|North America|USA|278357000|Chicago|Illinois|2896016
India|Southern and Central Asia|IND|1013662000|Ichalkaranji|Maharashtra|214950
Seychelles|Eastern Africa|SYC|77000|Victoria|Mahé|41000
Chile|South America|CHL|15211000|Copiapó|Atacama|120128
Egypt|Northern Africa|EGY|68470000|Alexandria|Aleksandria|3328196
India|Southern and Central Asia|IND|1013662000|Ratlam|Madhya Pradesh|183375
Japan|Eastern Asia|JPN|126714000|Fujimi|Saitama|96972
China|Eastern Asia|CHN|1277558000|Shaoxing|Zhejiang|179818
Italy|Southern Europe|ITA|57680000|Perugia|Umbria|156673
North Korea|Eastern Asia|PRK|24039000|Hyesan|Yanggang|178020
Bangladesh|Southern and Central Asia|BGD|129155000|Tangail|Dhaka|106004
Brazil|South America|BRA|170115000|Nova Friburgo|Rio de Janeiro|170697
Kenya|Eastern Africa|KEN|30080000|Nyeri|Central|91258
